Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,125.07,130.90,124.17,130.73,130.73,112117500
2023-01-03,130.28,131.07,124.44,125.87,125.87,79542000
2023-01-04,126.89,128.66,125.08,127.45,127.45,78637000
2023-01-05,127.13,127.77,124.76,125.02,125.02,71181400
2023-01-06,126.00,130.29,124.89,129.45,129.45,88032600
2023-01-09,130.47,133.41,129.89,130.15,130.15,70790800
2023-01-10,130.26,131.26,128.12,130.73,130.73,63896200
2023-01-11,131.25,133.51,130.46,133.49,133.49,69458900
2023-01-12,133.88,134.26,131.44,133.41,133.41,71223200
2023-01-13,132.03,132.42,129.82,134.76,134.76,57809700
2023-01-17,134.83,137.29,134.13,135.94,135.94,63646900
2023-01-18,136.82,138.34,135.07,135.21,135.21,69672100
2023-01-19,134.08,134.39,131.34,135.27,135.27,58512300
2023-01-20,135.28,137.42,134.87,137.87,137.87,80223500
2023-01-23,138.12,143.32,137.90,141.11,141.11,100756300
2023-01-24,140.31,143.16,140.27,142.53,142.53,96882500
2023-01-25,140.89,142.43,138.81,141.86,141.86,94936000
2023-01-26,143.17,144.25,141.90,143.96,143.96,75510000
2023-01-27,143.16,145.55,142.85,145.43,145.43,76449100
2023-01-30,144.96,145.55,141.60,143.00,143.00,65689600
2023-01-31,142.70,148.09,142.64,144.29,144.29,77663000
2023-02-01,143.97,144.26,142.43,150.82,150.82,119541500
2023-02-02,148.90,151.83,148.88,150.87,150.87,127390600
2023-02-03,148.03,149.58,145.78,145.31,145.31,118841000
2023-02-06,147.05,147.92,143.90,151.03,151.03,87558000
2023-02-07,153.00,156.33,152.15,154.65,154.65,111340900
2023-02-08,154.30,155.90,151.80,151.92,151.92,81761400
2023-02-09,153.40,153.72,150.64,150.87,150.87,56058300
2023-02-10,149.46,151.34,149.22,151.01,151.01,57120100
2023-02-13,150.95,154.28,150.93,153.85,153.85,62199400
2023-02-14,152.12,153.68,150.94,153.20,153.20,61879500
2023-02-15,153.50,155.23,152.05,152.12,152.12,58814200
2023-02-16,150.05,150.86,147.81,152.87,152.87,71084000
2023-02-17,152.35,153.10,149.15,152.55,152.55,55964900
2023-02-21,148.99,149.71,146.03,148.48,148.48,76217800
2023-02-22,149.45,151.98,148.25,148.91,148.91,74150700
2023-02-23,148.81,149.65,147.09,149.40,149.40,59880600
2023-02-24,148.20,149.57,146.87,147.92,147.92,76139900
2023-02-27,150.48,150.57,148.38,151.83,151.83,57114400
2023-02-28,150.95,151.70,148.74,149.80,149.80,56659700
2023-03-01,147.81,150.23,147.03,150.52,150.52,55529600
2023-03-02,144.38,146.71,143.90,145.31,145.31,60356800
2023-03-03,145.58,147.23,144.55,151.03,151.03,63316600
2023-03-06,153.88,154.58,151.17,153.83,153.83,65131500
2023-03-07,153.70,154.03,151.13,150.59,150.59,56727400
2023-03-08,152.35,152.86,150.56,152.99,152.99,57099800
2023-03-09,153.56,154.54,150.36,150.59,150.59,56026700
2023-03-10,150.21,150.44,146.05,148.50,148.50,68106400
2023-03-13,147.85,153.80,147.50,150.47,150.47,78064400
2023-03-14,152.35,156.06,152.19,152.59,152.59,73401800
